,baseMean,log2FoldChange,padj,seed_ortholog,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
NODE_319_length_11956_cov_491.446601_8,2410.51561416346,-1.43663019658113,0.0112252369765441,203124.Tery_4965,0.0,,894.0,"COG4370@1|root,COG4370@2|Bacteria,1G0QR@1117|Cyanobacteria,1H87A@1150|Oscillatoriales",1117|Cyanobacteria,S,TIGRFAM conserved,-,-,-,-,,-,Significant
NODE_127_length_28402_cov_2061.682259_20,4506.25958712002,-1.43633881052911,1.22640231223405e-06,203124.Tery_0060,9.32e-253,423.7,691.0,"COG2041@1|root,COG2041@2|Bacteria,1G169@1117|Cyanobacteria,1H9HS@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Oxidoreductase molybdopterin binding domain,-,-,-,ko:K07147,methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-],-,Significant
NODE_284_length_13227_cov_451.383313_5,1584.61586885231,-1.43204592732713,5.3908775639613e-08,203124.Tery_4587,2.18e-110,,318.0,"2APM1@1|root,31EQC@2|Bacteria,1G6ZJ@1117|Cyanobacteria,1HBI8@1150|Oscillatoriales",1117|Cyanobacteria,S,2TM domain,-,-,-,-,,-,Significant
NODE_76_length_39506_cov_451.403868_29,9708.86246874508,-1.4309986633942,0.0211307800924603,203124.Tery_3523,7.819999999999999e-300,579.6,818.0,"COG0172@1|root,COG0172@2|Bacteria,1G0PI@1117|Cyanobacteria,1H8XB@1150|Oscillatoriales",1117|Cyanobacteria,J,"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)",serS,-,6.1.1.11,ko:K01875,seryl-tRNA synthetase [EC:6.1.1.11],"ko00970,map00970",Significant
NODE_319_length_11956_cov_491.446601_5,237.540061429754,-1.42881835760211,0.0430821741885035,203124.Tery_4968,1.4999999999999999e-40,,134.0,"COG1714@1|root,COG1714@2|Bacteria",2|Bacteria,S,RDD family,yxaI,-,-,-,,-,Significant
NODE_67_length_44676_cov_538.449474_3,11102.2199900412,-1.42812969624075,0.0008715072968803,203124.Tery_4645,0.0,110.0,1475.0,"COG3957@1|root,COG3957@2|Bacteria,1G23D@1117|Cyanobacteria,1H8NV@1150|Oscillatoriales",1117|Cyanobacteria,G,D-xylulose 5-phosphate D-fructose 6-phosphate phosphoketolase,-,-,-,-,xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22],-,Significant
NODE_110_length_31929_cov_470.605039_7,2531.72726362786,-1.42445907905649,4.54365125060324e-08,203124.Tery_4491,3.9600000000000004e-160,204.9,449.0,"COG2197@1|root,COG2197@2|Bacteria,1G1TZ@1117|Cyanobacteria,1H7FH@1150|Oscillatoriales",1117|Cyanobacteria,K,Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,ycf29,-,-,-,"two-component system, NarL family, response regulator",-,Significant
NODE_166_length_22981_cov_632.443296_19,2572.62834443879,-1.42324454021551,0.0001062360574392,203124.Tery_1646,3.53e-253,231.8,694.0,"COG2008@1|root,COG2008@2|Bacteria,1G1VY@1117|Cyanobacteria,1H7SC@1150|Oscillatoriales",1117|Cyanobacteria,E,Catalyzes the cleavage of L-allo-threonine and L- threonine to glycine and acetaldehyde,-,-,4.1.2.48,ko:K01620,threonine aldolase [EC:4.1.2.48],"ko00260,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map01100,map01110,map01120,map01130,map01230",Significant
NODE_174_length_22063_cov_460.812023_4,3663.61793688184,-1.42106073991221,0.0106936895800671,203124.Tery_4976,0.0,351.7,1040.0,"COG1233@1|root,COG1233@2|Bacteria,1G0AY@1117|Cyanobacteria,1H879@1150|Oscillatoriales",1117|Cyanobacteria,Q,FAD dependent oxidoreductase,-,-,5.2.1.13,ko:K09835,prolycopene isomerase [EC:5.2.1.13],"ko00906,ko01100,ko01110,map00906,map01100,map01110",Significant
NODE_112_length_31476_cov_445.002069_17,2960.19100774098,-1.41853900500903,8.81540179514606e-05,203124.Tery_1603,9.29e-310,455.5,843.0,"COG0285@1|root,COG0285@2|Bacteria,1G04F@1117|Cyanobacteria,1H7QY@1150|Oscillatoriales",1117|Cyanobacteria,H,Belongs to the folylpolyglutamate synthase family,folC,-,"6.3.2.12,6.3.2.17",ko:K11754,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17],"ko00790,ko01100,map00790,map01100",Significant
NODE_347_length_10803_cov_440.945478_11,124607.770618697,-1.41782857285154,0.0001922310619797,203124.Tery_0845,1.74e-159,193.1,447.0,"COG5424@1|root,COG5424@2|Bacteria,1G23M@1117|Cyanobacteria,1H8T4@1150|Oscillatoriales",1117|Cyanobacteria,H,Pyrroloquinoline quinone (Coenzyme PQQ) biosynthesis protein C,-,-,1.3.3.11,ko:K06137,pyrroloquinoline-quinone synthase [EC:1.3.3.11],-,Significant
NODE_309_length_12249_cov_737.146629_10,2031.70293030054,-1.41569963789952,2.55087622540858e-05,203124.Tery_3727,1.34e-119,,342.0,"COG1714@1|root,COG1714@2|Bacteria,1G6WQ@1117|Cyanobacteria,1HCFM@1150|Oscillatoriales",1117|Cyanobacteria,S,pfam rdd,-,-,-,-,,-,Significant
NODE_294_length_12775_cov_450.023899_1,2707.66940781824,-1.41447086063322,8.70951070922326e-05,203124.Tery_3668,2.0000000000000002e-278,62.2,778.0,"COG1357@1|root,COG1357@2|Bacteria,1G1SR@1117|Cyanobacteria,1H7C5@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Pentapeptide repeats (8 copies),-,-,-,-,BTB/POZ domain-containing protein KCTD9,-,Significant
NODE_32_length_62489_cov_866.665919_7,7157.49440659508,-1.41420626813071,0.000367529043625,203124.Tery_0313,4.4e-260,244.2,718.0,"COG2268@1|root,COG2268@2|Bacteria,1G399@1117|Cyanobacteria,1H9DC@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM SPFH domain Band 7 family,-,-,-,ko:K07192,flotillin,"ko04910,map04910",Significant
NODE_82_length_38545_cov_404.865056_13,3706.05187647992,-1.41357392456246,4.9590481644777e-06,203124.Tery_1923,5.93e-122,282.4,348.0,"COG0529@1|root,COG0529@2|Bacteria,1G21C@1117|Cyanobacteria,1H93G@1150|Oscillatoriales",1117|Cyanobacteria,F,Catalyzes the synthesis of activated sulfate,cysC,-,2.7.1.25,ko:K00860,adenylylsulfate kinase [EC:2.7.1.25],"ko00230,ko00920,ko01100,ko01120,map00230,map00920,map01100,map01120",Significant
NODE_33_length_62040_cov_935.996967_30,1864.43343978846,-1.41150899141829,2.51133946624468e-06,203124.Tery_1310,1.66e-146,236.3,412.0,"COG0681@1|root,COG0681@2|Bacteria,1G519@1117|Cyanobacteria,1HAKR@1150|Oscillatoriales",1117|Cyanobacteria,U,Belongs to the peptidase S26 family,lepB,-,3.4.21.89,ko:K03100,signal peptidase I [EC:3.4.21.89],"ko02024,ko03060,map02024,map03060",Significant
NODE_190_length_20879_cov_320.344698_5,1930.20607332297,-1.40233631666445,0.0232359766325242,203124.Tery_2164,3.1699999999999996e-189,330.3,525.0,"COG1127@1|root,COG1127@2|Bacteria,1G11P@1117|Cyanobacteria,1H80T@1150|Oscillatoriales",1117|Cyanobacteria,Q,"ABC-type transport system involved in resistance to organic solvents, ATPase component",mkl,-,-,ko:K02065,phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein,"ko02010,map02010",Significant
NODE_787_length_3720_cov_408.026739_2,1443.61990366207,-1.40093669414828,0.0013612354003033,203124.Tery_1175,1.06e-178,372.2,498.0,"COG0007@1|root,COG0007@2|Bacteria,1G0X6@1117|Cyanobacteria,1H83E@1150|Oscillatoriales",1117|Cyanobacteria,H,Belongs to the precorrin methyltransferase family,cobA,"GO:0003674,GO:0003824,GO:0004851,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008757,GO:0009058,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019354,GO:0019438,GO:0032259,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046156,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.1.1.107,ko:K02303,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",Significant
NODE_12_length_84605_cov_817.129698_17,9045.97516756511,-1.40072006944347,0.0098711362285697,203124.Tery_2577,4.0299999999999994e-42,,138.0,"2E44G@1|root,32Z0M@2|Bacteria,1G953@1117|Cyanobacteria,1HCTB@1150|Oscillatoriales",1117|Cyanobacteria,S,Protein of unknown function (DUF2997),-,-,-,-,,-,Significant
NODE_1_length_148236_cov_916.668891_24,3011.82008621731,-1.3981675185381,0.0029166751817557,203124.Tery_4088,7.910000000000001e-212,494.9,584.0,"COG0447@1|root,COG0447@2|Bacteria,1G10D@1117|Cyanobacteria,1H70Q@1150|Oscillatoriales",1117|Cyanobacteria,H,"Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4- dihydroxy-2-naphthoyl-CoA (DHNA-CoA)",menB,-,4.1.3.36,ko:K01661,naphthoate synthase [EC:4.1.3.36],"ko00130,ko01100,ko01110,map00130,map01100,map01110",Significant
NODE_62_length_46238_cov_699.035316_24,1458.43320954002,-1.39324310902855,3.01797195218977e-05,203124.Tery_1250,1.3399999999999999e-141,66.4,400.0,"COG0484@1|root,COG0484@2|Bacteria,1G5UK@1117|Cyanobacteria,1H9H6@1150|Oscillatoriales",1117|Cyanobacteria,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain,-,-,-,-,curved DNA-binding protein,-,Significant
NODE_35_length_61288_cov_468.205657_46,7749.14662859636,-1.38999283042859,0.0029369825636796,203124.Tery_0347,1.06e-279,,763.0,"COG2441@1|root,COG2441@2|Bacteria,1G0CM@1117|Cyanobacteria,1H78C@1150|Oscillatoriales",1117|Cyanobacteria,C,Co2 hydration protein,cupB,-,-,-,,-,Significant
NODE_7_length_88770_cov_446.852708_10,1927.04937854313,-1.38966452210888,0.0061054929819472,203124.Tery_0470,3.12e-23,,95.5,"COG3344@1|root,COG3344@2|Bacteria,1G5RB@1117|Cyanobacteria,1HBCJ@1150|Oscillatoriales",1117|Cyanobacteria,L,N-terminal domain of reverse transcriptase,-,-,2.7.7.49,ko:K00986,,-,Significant
NODE_3_length_123736_cov_497.957641_36,11604.0825345408,-1.38865779537985,0.0003465813483419,203124.Tery_4799,4.26e-92,226.3,269.0,"28I0N@1|root,2Z81S@2|Bacteria,1G310@1117|Cyanobacteria,1HAMG@1150|Oscillatoriales",1117|Cyanobacteria,C,PFAM Phycobilisome protein,apcD,-,-,ko:K02095,allophycocyanin-B,"ko00196,ko01100,map00196,map01100",Significant
NODE_2_length_141101_cov_626.108738_11,4921.64869278085,-1.38853827337139,9.36262836291407e-05,203124.Tery_2865,9.44e-233,91.6,639.0,"COG1235@1|root,COG1235@2|Bacteria,1G166@1117|Cyanobacteria,1H884@1150|Oscillatoriales",1117|Cyanobacteria,S,of the beta-lactamase superfamily I,-,-,-,-,ribonuclease Z [EC:3.1.26.11],-,Significant
NODE_39_length_58356_cov_476.169585_48,6699.88082909001,-1.38304150556565,0.0007813232797802,203124.Tery_1027,3.13e-251,553.8,689.0,"COG0523@1|root,COG0523@2|Bacteria,1FZWP@1117|Cyanobacteria,1H79F@1150|Oscillatoriales",1117|Cyanobacteria,S,Cobalamin synthesis protein cobW C-terminal domain,cobW,-,-,ko:K02234,cobalamin biosynthesis protein CobW,-,Significant
NODE_5_length_92424_cov_618.323723_66,232.096897890406,-1.38198460161312,0.0380633873930993,1173029.JH980292_gene1013,5.73e-08,,55.1,"COG1520@1|root,COG2931@1|root,COG3210@1|root,COG1520@2|Bacteria,COG2931@2|Bacteria,COG3210@2|Bacteria,1G689@1117|Cyanobacteria,1HEJ6@1150|Oscillatoriales",1117|Cyanobacteria,Q,Domain of unknown function (DUF4114),-,-,-,ko:K20276,,"ko02024,map02024",Significant
NODE_715_length_4332_cov_383.224223_2,643.178139847045,-1.381084801512,0.0171744273404552,203124.Tery_0121,1.57e-93,,280.0,"COG2265@1|root,COG2265@2|Bacteria,1GQYX@1117|Cyanobacteria",1117|Cyanobacteria,J,Tellurite resistance protein TehB,-,-,-,-,,-,Significant
NODE_43_length_57505_cov_386.879339_8,2733.61647727336,-1.37930570838562,0.0004424209788316,203124.Tery_1435,2.66e-136,230.4,385.0,"COG0054@1|root,COG0054@2|Bacteria,1G0TJ@1117|Cyanobacteria,1H9ES@1150|Oscillatoriales",1117|Cyanobacteria,H,"Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin",ribH,"GO:0000906,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.5.1.78,ko:K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]","ko00740,ko01100,ko01110,map00740,map01100,map01110",Significant
NODE_268_length_14308_cov_307.923455_4,2519.93970272458,-1.3787712997857,0.0290115511272366,203124.Tery_0028,1.07e-122,,349.0,"2EURW@1|root,34033@2|Bacteria,1GEIP@1117|Cyanobacteria,1HGF6@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_9_length_85320_cov_628.812291_24,2653.39588090683,-1.37845814182258,0.0005968926012996,203124.Tery_4384,2.0499999999999997e-228,,629.0,"COG2006@1|root,COG2006@2|Bacteria,1G1NA@1117|Cyanobacteria,1H70S@1150|Oscillatoriales",1117|Cyanobacteria,S,COGs COG2006 conserved,-,-,-,-,,-,Significant
NODE_119_length_29301_cov_468.768242_14,5731.39823352021,-1.3773335831448,0.0018129501246447,203124.Tery_1895,0.0,931.7,1472.0,"COG1523@1|root,COG1523@2|Bacteria,1G0PW@1117|Cyanobacteria,1H8QW@1150|Oscillatoriales",1117|Cyanobacteria,G,Belongs to the glycosyl hydrolase 13 family,glgX,-,3.2.1.68,ko:K01214,isoamylase [EC:3.2.1.68],"ko00500,ko01100,ko01110,map00500,map01100,map01110",Significant
NODE_18_length_76709_cov_508.527135_39,1967.3472918749,-1.37702418033659,8.7426136816623e-05,203124.Tery_0688,6.21e-122,225.2,347.0,"COG0801@1|root,COG0801@2|Bacteria,1G5NF@1117|Cyanobacteria,1HB2Y@1150|Oscillatoriales",1117|Cyanobacteria,H,"PFAM 7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK",folK,-,2.7.6.3,ko:K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],"ko00790,ko01100,map00790,map01100",Significant
NODE_82_length_38545_cov_404.865056_32,2467.6846017926,-1.37197902115438,0.0006435300824283,203124.Tery_1908,3.63e-63,,193.0,"2BY2P@1|root,32YG8@2|Bacteria,1G91E@1117|Cyanobacteria,1HD6N@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_1_length_148236_cov_916.668891_110,11381.4981930032,-1.37119490431879,0.0093032243033404,203124.Tery_4160,9.080000000000001e-235,340.6,647.0,"COG1131@1|root,COG1131@2|Bacteria,1G1IU@1117|Cyanobacteria,1H83S@1150|Oscillatoriales",1117|Cyanobacteria,V,Daunorubicin resistance ABC transporter ATP-binding subunit,ccmA,-,-,ko:K01990,ABC-2 type transport system ATP-binding protein,-,Significant
NODE_171_length_22322_cov_507.005165_11,2024.6823245141,-1.36979621343597,0.0399069844929949,203124.Tery_0279,1.3099999999999998e-140,,397.0,"COG4244@1|root,COG4244@2|Bacteria,1G2MC@1117|Cyanobacteria,1HAF7@1150|Oscillatoriales",1117|Cyanobacteria,S,Predicted membrane protein (DUF2231),-,-,-,-,,-,Significant
NODE_39_length_58356_cov_476.169585_44,8428.85677199403,-1.36572401258144,0.0112357166685586,203124.Tery_1022,2.97e-266,299.6,729.0,"COG0371@1|root,COG0371@2|Bacteria,1G19U@1117|Cyanobacteria,1H7MP@1150|Oscillatoriales",1117|Cyanobacteria,C,PFAM Iron-containing alcohol dehydrogenase,gldA,-,"1.1.1.1,1.1.1.6","ko:K00001,ko:K00005",hydroxycarboxylate dehydrogenase A [EC:1.1.1.-],"ko00010,ko00071,ko00350,ko00561,ko00625,ko00626,ko00640,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00561,map00625,map00626,map00640,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220",Significant
NODE_25_length_67348_cov_528.525924_48,14323.6856275714,-1.36517654668108,0.0022323849606916,203124.Tery_3270,1.5199999999999999e-61,126.0,189.0,"COG0199@1|root,COG0199@2|Bacteria,1G6JZ@1117|Cyanobacteria,1HBGV@1150|Oscillatoriales",1117|Cyanobacteria,J,"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site",rpsN,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02954,small subunit ribosomal protein S14,"ko03010,map03010",Significant
NODE_24_length_68070_cov_475.815467_27,84595.5634869688,-1.35921523029,0.0004038680897089,203124.Tery_3380,0.0,1330.1,1562.0,"COG0542@1|root,COG0542@2|Bacteria,1G4MD@1117|Cyanobacteria,1H7ZE@1150|Oscillatoriales",1117|Cyanobacteria,O,Belongs to the ClpA ClpB family,-,-,-,ko:K03696,ATP-dependent Clp protease ATP-binding subunit ClpC,"ko01100,map01100",Significant
NODE_1_length_148236_cov_916.668891_48,14393.8049303121,-1.35840230526518,0.0003938304670857,203124.Tery_4108,1.1499999999999999e-92,,301.0,"COG1511@1|root,COG1511@2|Bacteria,1G65E@1117|Cyanobacteria,1HB26@1150|Oscillatoriales",1117|Cyanobacteria,S,domain protein,-,-,-,-,,-,Significant
NODE_12_length_84605_cov_817.129698_35,1036.02616282969,-1.3551252569278,0.0382805213294034,203124.Tery_2560,5.34e-109,135.0,326.0,"COG0457@1|root,COG0457@2|Bacteria,1G4T8@1117|Cyanobacteria,1HB98@1150|Oscillatoriales",1117|Cyanobacteria,S,Tetratricopeptide repeat,-,-,-,-,tetratricopeptide repeat protein 6,-,Significant
NODE_14_length_80493_cov_897.301462_37,16425.6343258737,-1.35502885645571,0.0002241701921985,203124.Tery_2985,4.0399999999999997e-106,243.1,306.0,"COG0102@1|root,COG0102@2|Bacteria,1G512@1117|Cyanobacteria,1HAJM@1150|Oscillatoriales",1117|Cyanobacteria,J,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly",rplM,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02871,large subunit ribosomal protein L13,"ko03010,map03010",Significant
NODE_36_length_61240_cov_501.811392_22,621.866811885799,-1.35366357673597,0.0003303149119899,203124.Tery_0442,6.68e-106,213.1,305.0,"COG1490@1|root,COG1490@2|Bacteria,1G5CN@1117|Cyanobacteria,1HAT1@1150|Oscillatoriales",1117|Cyanobacteria,J,"rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality",dtd,-,-,ko:K07560,D-aminoacyl-tRNA deacylase [EC:3.1.1.96],-,Significant
NODE_55_length_48138_cov_477.565980_27,22150.3377937854,-1.35212509902541,0.0002070121462155,203124.Tery_3849,0.0,969.0,1314.0,"COG0663@1|root,COG4451@1|root,COG0663@2|Bacteria,COG4451@2|Bacteria,1G0RJ@1117|Cyanobacteria,1H7BI@1150|Oscillatoriales",1117|Cyanobacteria,C,"PFAM Ribulose bisphosphate carboxylase, small chain",ccmM,-,-,ko:K08698,carbon dioxide concentrating mechanism protein CcmM,-,Significant
NODE_109_length_31934_cov_409.772327_16,1112.8238887586,-1.34988677900104,0.0028408706135904,203124.Tery_2149,3.06e-73,,220.0,"COG4997@1|root,COG4997@2|Bacteria,1G8QT@1117|Cyanobacteria,1HCJ4@1150|Oscillatoriales",1117|Cyanobacteria,I,bis(5'-adenosyl)-triphosphatase activity,-,-,-,-,,-,Significant
NODE_15_length_78850_cov_450.708205_64,299.828890960082,-1.34974780443801,0.000148045896909,203124.Tery_4694,1.25e-88,,259.0,"2DIT0@1|root,32UBP@2|Bacteria,1G7P7@1117|Cyanobacteria,1HBTG@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_55_length_48138_cov_477.565980_33,11475.4157852352,-1.34582837701632,0.0004231208491701,203124.Tery_3843,0.0,770.9,968.0,"COG0064@1|root,COG0064@2|Bacteria,1G0H0@1117|Cyanobacteria,1H7I7@1150|Oscillatoriales",1117|Cyanobacteria,J,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),gatB,"GO:0003674,GO:0003824,GO:0006082,GO:0006139,GO:0006399,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016874,GO:0016879,GO:0016884,GO:0019752,GO:0034641,GO:0034660,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0050567,GO:0070681,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564","6.3.5.6,6.3.5.7",ko:K02434,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7],"ko00970,ko01100,map00970,map01100",Significant
NODE_166_length_22981_cov_632.443296_14,5515.91329724938,-1.34561005704016,0.0001555089611333,203124.Tery_1641,3.52e-172,,481.0,"2DBC7@1|root,2Z8C3@2|Bacteria,1G38B@1117|Cyanobacteria,1H7GZ@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Tic22-like family,-,-,-,ko:K16915,,"ko02010,map02010",Significant
NODE_50_length_54039_cov_455.406120_26,13080.6333652322,-1.34484078304342,0.0001136654132733,203124.Tery_1751,1.81e-238,489.6,659.0,"COG0484@1|root,COG0484@2|Bacteria,1G0IY@1117|Cyanobacteria,1H6XG@1150|Oscillatoriales",1117|Cyanobacteria,O,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins",dnaJ,-,-,ko:K03686,molecular chaperone DnaJ,-,Significant
NODE_3_length_123736_cov_497.957641_33,3685.81728013404,-1.34375058344194,0.0005510340543391,203124.Tery_4802,0.0,533.1,973.0,"COG2265@1|root,COG2265@2|Bacteria,1G0MN@1117|Cyanobacteria,1H74F@1150|Oscillatoriales",1117|Cyanobacteria,J,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family,rumA,-,2.1.1.190,ko:K03215,23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190],-,Significant
NODE_57_length_47964_cov_1705.730614_9,2018.70138671764,-1.34198161156551,1.04272313162578e-05,203124.Tery_0094,1.6e-126,,358.0,"COG2343@1|root,COG2343@2|Bacteria,1G50P@1117|Cyanobacteria,1HAMP@1150|Oscillatoriales",1117|Cyanobacteria,S,COGs COG2343 conserved,-,-,-,-,,-,Significant
NODE_3_length_123736_cov_497.957641_80,4628.1455922261,-1.33813578483057,0.0022237025647171,203124.Tery_4764,3.73e-78,183.2,232.0,"COG0537@1|root,COG0537@2|Bacteria,1G6R2@1117|Cyanobacteria,1HBGW@1150|Oscillatoriales",1117|Cyanobacteria,FG,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family,hit,-,-,ko:K02503,histidine triad (HIT) family protein,-,Significant
NODE_1115_length_2286_cov_453.396235_1,2411.50198052322,-1.33587064861889,0.0010178684783859,203124.Tery_3869,0.0,44.6,976.0,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,uncharacterized protein,-,Significant
NODE_36_length_61240_cov_501.811392_2,6496.90163138016,-1.33238235509141,0.0004570599761959,203124.Tery_0458,4.47e-227,235.8,625.0,"COG0667@1|root,COG0667@2|Bacteria,1G1PP@1117|Cyanobacteria,1H8A6@1150|Oscillatoriales",1117|Cyanobacteria,C,PFAM Aldo keto reductase family,-,-,-,-,pyridoxine 4-dehydrogenase [EC:1.1.1.65],-,Significant
NODE_770_length_3855_cov_528.086053_2,2853.28314198685,-1.33236481701635,0.001545034637747,203124.Tery_2047,0.0,583.9,1026.0,"COG4147@1|root,COG4147@2|Bacteria,1G197@1117|Cyanobacteria,1H6X7@1150|Oscillatoriales",1117|Cyanobacteria,S,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,-,-,-,ko:K14393,cation/acetate symporter,-,Significant
NODE_110_length_31929_cov_470.605039_12,1685.66424353593,-1.3293316816521,0.0022791652784139,203124.Tery_4486,3.18e-121,188.9,346.0,"COG0663@1|root,COG0663@2|Bacteria,1G51K@1117|Cyanobacteria,1H8ZT@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Bacterial transferase hexapeptide (three repeats),-,-,-,-,gamma-carbonic anhydrase [EC:4.2.1.-],-,Significant
